Citizenship,visitor_17,visitor_18,visitor_19,visitor_20,visitor_21
Singapore,42177,43734,46812,7363,182
Australia,18933,16246,16881,4052,94
New  Zealand,5114,4574,4299,787,21
Canada,8502,8288,8034,1730,53
United Kingdom,33399,32246,32194,5300,200
Hong Kong,1377,573,158,48,295
Sri Lanka,1237,976,1170,278,49
Bangladesh,1775,1881,2022,659,112
India,31351,27253,26791,8045,2069
Brunei,1738783,1327561,1296017,180616,3810
United States of America,9972,10508,9342,1533,31
China,38204,44025,39933,7193,1436
Russia,1493,1750,1767,368,29
Latin America,1714,1672,1234,309,91
Arabs,3111,3058,3394,957,234
Germany,7247,6834,6533,1611,52
France,5865,6026,6325,775,60
Nor/Swe/Den/Fin,4466,3906,3083,836,27
Belg/Lux/Net,10252,9801,9098,772,41
Europe,14554,14652,14622,2065,237
Philippines,68380,57931,63238,14072,2420
Thailand,15968,12605,12728,3632,425
Taiwan,11221,8271,10004,1960,93
Indonesia,513442,417774,418461,104380,7973
Pakistan,4222,3349,3428,1001,167
Japan ,10817,9308,10091,1937,162
South Korea,11111,10783,10820,2608,343
Peninsular Malaysia,1264522,1461439,1604498,546520,123283
Sabah,952844,856507,975477,290048,89584
