Citizenship,visitor_17,visitor_18,visitor_19,visitor_20,visitor_21
Singapore,"42,177","43,734","46,812","7,363",182
Australia,"18,933","16,246","16,881","4,052",94
New  Zealand,"5,114","4,574","4,299",787,21
Canada,"8,502","8,288","8,034","1,730",53
United Kingdom,"33,399","32,246","32,194","5,300",200
Hong Kong,"1,377",573,158,48,295
Sri Lanka,"1,237",976,"1,170",278,49
Bangladesh,"1,775","1,881","2,022",659,112
India,"31,351","27,253","26,791","8,045","2,069"
Brunei,"1,738,783","1,327,561","1,296,017","180,616","3,810"
United States of America,"9,972","10,508","9,342","1,533",31
China,"38,204","44,025","39,933","7,193","1,436"
Russia,"1,493","1,750","1,767",368,29
Latin America,"1,714","1,672","1,234",309,91
Arabs,"3,111","3,058","3,394",957,234
Germany,"7,247","6,834","6,533","1,611",52
France,"5,865","6,026","6,325",775,60
Nor/Swe/Den/Fin,"4,466","3,906","3,083",836,27
Belg/Lux/Net,"10,252","9,801","9,098",772,41
Europe,"14,554","14,652","14,622","2,065",237
Philippines,"68,380","57,931","63,238","14,072","2,420"
Thailand,"15,968","12,605","12,728","3,632",425
Taiwan,"11,221","8,271","10,004","1,960",93
Indonesia,"513,442","417,774","418,461","104,380","7,973"
Pakistan,"4,222","3,349","3,428","1,001",167
Japan ,"10,817","9,308","10,091","1,937",162
South Korea,"11,111","10,783","10,820","2,608",343
Peninsular Malaysia,"1,264,522","1,461,439","1,604,498","546,520","123,283"
Sabah,"952,844","856,507","975,477","290,048","89,584"
